AK3,0.156402727,1
AKAP1,0.400760964,1
AKAP11,0.619443551,1
AKAP12,0.634817725,1
AKAP13,0.116756938,1
AKAP8L,0.236164568,1
AKAP9,0.599645139,1
AKIP1,0.069006905,1
AKR1A1,0.178333959,1
AKR1B1,0.726942599,1
AKR1C2,0.03609676,1
AKR1C3,0.008079702,1
AKR7A2,0.420489516,1
AKT1,0.455586367,1
AKT1S1,0.354829069,1
AKT2,0.943578624,1
AKT3,0.596128159,1
ALCAM,0.610354032,1
ALDH18A1,0.014252887,1
ALDH1A3,0.083930424,1
ALDH1B1,0.076386875,1
ALDH2,0.322507874,1
ALDH3B1,0.526047388,1
ALDH9A1,0.170668556,1
ALDOA,0.064274283,1
ALG13,0.908794706,1
ALG3,0.525292168,1
ALG5,0.6980029,1
ALKBH5,0.0134192,1
ALKBH7,0.76099591,1
ALOX15B,0.283804147,1
ALOX5,0.513864738,1
ALOX5AP,0.055138573,1
ALS2CL,0.230222087,1
AMFR,0.599916937,1
AMN,0.069800694,1
AMOTL1,0.216856331,1
AMPD2,0.02008574,1
ANAPC11,0.241481246,1
ANAPC16,0.895578655,1
ANAPC5,0.393036768,1
ANAPC7,0.645469654,1
ANGPTL2,0.226161503,1
ANKH,0.64358178,1
ANKLE2,0.232470871,1
ANKRD10,0.338654745,1
ANKRD11,0.202443856,1
ANKRD13D,0.212502749,1
ANKRD40,0.388983218,1
ANKRD45,0.35134228,1
ANKRD9,0.436544251,1
ANKZF1,0.027711538,1
ANO1,0.039163845,1
ANO9,0.061719667,1
ANP32A,0.369896967,1
ANP32B,0.372751416,1
ANPEP,0.021572078,1
ANTXR1,0.284389268,1
ANTXR2,0.16042187,1
ANXA1,0.368123155,1
ANXA11,0.755556405,1
ANXA2,0.030108998,1
ANXA4,0.226989297,1
ANXA5,0.905660859,1
ANXA6,0.543818947,1
ANXA7,0.308794099,1
ANXA8,0.017719133,1
AOC1,0.494597247,1
AOC3,0.086854004,1
AP1B1,0.974140194,1
AP1G2,0.491468772,1
AP1M1,0.299415836,1
AP1M2,0.285413609,1
AP1S1,0.172215213,1
AP2A1,0.239989314,1
AP2A2,0.827378392,1
AP2B1,0.898578503,1
AP2M1,0.690731061,1
AP2S1,0.016715295,1
AP3D1,0.419334304,1
AP3M2,0.307016476,1
AP3S1,0.399548139,1
APBB1,0.587690531,1
APBB2,0.760006456,1
APEH,0.417247041,1
APEX1,0.821348606,1
APH1A,0.392480949,1
APLP2,0.020287528,1
APMAP,0.54154931,1
APOBEC3C,0.24113006,1
APOL1,0.074290718,1
APOL2,0.890680049,1
APOL3,0.130248671,1
APOL6,0.645562683,1
APOPT1,0.704645151,1
APP,0.117403906,1
APPL2,0.695677064,1
APRT,0.095795697,1
AQP1,0.088559606,1
ARAF,0.663979507,1
ARAP1,0.953684503,1
ARCN1,0.575228532,1
AREL1,0.484659978,1
ARF1,0.062623407,1
ARF3,0.134797009,1
ARF4,0.666823265,1
ARF6,0.526186784,1
ARFGAP1,0.629590161,1
ARFGAP2,0.753242698,1
ARFIP2,0.074018312,1
ARFRP1,0.169338813,1
ARGLU1,0.737736461,1
ARHGAP1,0.057606249,1
ARHGAP18,0.976708258,1
ARHGAP21,0.665882042,1
ARHGAP26,0.037519639,1
ARHGAP27,0.042993323,1
ARHGAP35,0.448374677,1
ARHGAP45,0.534689699,1
ARHGAP5,0.265382041,1
ARHGDIA,0.574188599,1
ARHGDIB,0.432763869,1
ARHGEF1,0.414933458,1
ARHGEF10L,0.516250506,1
ARHGEF11,0.80307446,1
ARHGEF12,0.295898151,1
ARHGEF17,0.353234939,1
ARHGEF2,0.228016805,1
ARHGEF40,0.666572512,1
ARHGEF5,0.277232504,1
ARHGEF7,0.0322049,1
ARID1A,0.429774547,1
