entrezgene,hgnc_symbol
NA,RNU6-975P
NA,RNU6-1328P
100422917,MIR4283-1
NA,USP9YP30
NA,
NA,RN7SL689P
NA,RNU6-900P
NA,RNU6-853P
NA,
NA,RN7SL262P
100616386,MIR4654
NA,
NA,RNA5SP473
102465470,MIR6784
100616479,MIR4635
83857,TMTC1
100847015,MIR5691
NA,RNU6-584P
102465137,MIR6129
NA,RNA5SP262
100616331,MIR4650-2
NA,RNA5SP373
100616223,MIR4509-1
406930,MIR138-2
407019,MIR27B
NA,
102464836,MIR6088
NA,
NA,RN7SL93P
100302148,MIR1263
NA,RNA5SP222
NA,RNU6-120P
NA,RN7SL606P
55769,ZNF83
NA,RNA5SP18
NA,RNU6-526P
619570,SNORD95
NA,
NA,RNY1P2
NA,RNU7-188P
NA,
NA,RNU6-1195P
NA,RNA5SP292
NA,
NA,RNU2-25P
152641,WWC2-AS2
NA,
NA,RNU4-5P
102465484,MIR6806
NA,
NA,RPL7P25
NA,
101060544,LINC01563
NA,SERBP1P4
NA,VN1R84P
106478956,MDC1-AS1
NA,
NA,
NA,RNA5SP208
NA,
116255,MOGAT1
100616499,MIR4435-1
102725079,
406966,MIR191
NA,FRG1BP
NA,MYL12BP1
NA,
100033802,SNORD115-26
641367,
NA,RNU6-1064P
NA,OR2H5P
NA,CASK-AS1
NA,BNIP3P37
54764,ZRANB1
100616131,MIR3689D1
NA,
NA,RPS3P7
55472,RBM12B-AS1
677797,SNORA7B
26188,OR1C1
NA,
26793,SNORD56
441151,TMEM151B
NA,
1300,COL10A1
NA,HSP90AB2P
5498,PPOX
NA,
NA,FDPSP7
NA,
NA,RN7SL240P
NA,HNRNPA1P55
NA,
92999,ZBTB47
105377443,
NA,
100507540,LINC01504
644246,KANSL1-AS1
NA,SUMO2P7
NA,
NA,RN7SL666P
NA,
NA,
NA,GCNT6
NA,
388021,TMEM179
NA,RNA5SP70
NA,
NA,
NA,RNA5SP86
NA,
NA,RNU6-246P
2916,GRM6
NA,
NA,IGLVI-38
NA,RNU6-35P
NA,PSMC1P10
NA,
NA,
NA,
NA,
101928931,SEMA3B-AS1
NA,
NA,
2535,FZD2
80776,B9D2
NA,KSR1P1
NA,RBMY2YP
6754,SSTR4
NA,
NA,
NA,
442899,MIR325
NA,
692092,SNORD32B
29914,UBIAD1
NA,ETF1P1
NA,
NA,
100033813,SNORD115-39
100616120,MIR4695
NA,
9288,TAAR3
NA,RN7SL5P
NA,NOTCH2P1
406881,MIRLET7A1
340069,FAM170A
57493,HEG1
NA,RN7SKP110
NA,RN7SL799P
100422882,MIR3120
NA,RPL7P53
653464,SRGAP2C
286133,SCARA5
NA,
26795,SNORD54
NA,BMPR1B-AS1
9355,LHX2
100187716,MIR1224
NA,
NA,
NA,IGHV3-64
NA,RPS4XP16
102466865,MIR7848
NA,RNA5SP231
56833,SLAMF8
101180976,IFNL4
NA,RN7SL215P
NA,
NA,RNA5SP157
NA,RNU6-552P
653247,PRB2
NA,LINC01094
NA,OR9H1P
NA,
NA,RNU6-833P
NA,
100129842,ZNF737
NA,RNA5SP275
NA,
NA,RNU1-15P
139201,MAP2K4P1
26807,SNORD43
NA,TMSB4XP2
